Title;ISSN;Categories;Top Level;Primary Level;Secondary Level;Preassigned
140th Audio Engineering Society International Convention 2016, AES 2016;-;Aerospace Engineering;Physical Sciences and Engineering;Engineering;Aerospace Engineering;
141st Audio Engineering Society International Convention 2016, AES 2016;-;"Artificial Intelligence; Control and Systems Engineering";Physical Sciences and Engineering;Computer Science;Artificial Intelligence;
14th International Conference on QiR (Quality in Research), QiR 2015 - In conjunction with 4th Asian Symposium on Material Processing, ASMP 2015 and International Conference in Saving Energy in Refrigeration and Air Conditioning, ICSERA 2015;-;"Computer Networks and Communications; Electrical and Electronic Engineering";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
14th International Conference on Space Operations, 2016;-;"Computer Networks and Communications; Hardware and Architecture";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
14th International Industrial Simulation Conference, ISC 2016;-;"Biomaterials; Industrial and Manufacturing Engineering";Physical Sciences and Engineering;Engineering;Industrial and Manufacturing Engineering;
15th Dynamics Specialists Conference;-;"Atomic and Molecular Physics, and Optics; Computer Networks and Communications";Physical Sciences and Engineering;Physics and Astronomy;Atomic and Molecular Physics, and Optics;
14th International Energy Conversion Engineering Conference, 2016;-;"Automotive Engineering; Computer Science Applications; Modeling and Simulation";Physical Sciences and Engineering;NA;NA;
15th European Conference on the Mathematics of Oil Recovery, ECMOR 2016;-;"Computer Networks and Communications; Hardware and Architecture; Information Systems";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
14th Specialist Meeting on Microwave Radiometry and Remote Sensing of the Environment, MicroRad 2016 - Proceedings;-;"Artificial Intelligence; Computer Vision and Pattern Recognition; Signal Processing";Physical Sciences and Engineering;NA;NA;
15th International Workshop on Junction Technology, IWJT 2015;-;"Geophysics; Geotechnical Engineering and Engineering Geology";Physical Sciences and Engineering;Earth and Planetary Sciences;Geotechnical Engineering and Engineering Geology;
16th International Conference on Nanotechnology - IEEE NANO 2016;-;Building and Construction;Physical Sciences and Engineering;Engineering;BuildingConstruction;
15th International Conference on Modeling and Applied Simulation, MAS 2016;-;"Artificial Intelligence; Computer Science Applications; Control and Systems Engineering; Signal Processing";Physical Sciences and Engineering;NA;NA;
16th Topical Conference on Gas Utilization 2016 - Topical Conference at the 2016 AIChE Spring Meeting and 12th Global Congress on Process Safety;-;"Energy Engineering and Power Technology; Mechanical Engineering";Physical Sciences and Engineering;Energy;Energy Engineering and Power Technology;
16th AIAA Aviation Technology, Integration, and Operations Conference;-;"Aerospace Engineering; Electrical and Electronic Engineering; Instrumentation; Radiation";Physical Sciences and Engineering;NA;NA;
16th International Conference on Advances in ICT for Emerging Regions, ICTer 2016 - Conference Proceedings;-;"Computer Networks and Communications; Computer Science Applications; Hardware and Architecture";Physical Sciences and Engineering;NA;NA;
17th AIAA/ISSMO Multidisciplinary Analysis and Optimization Conference;-;"Computer Networks and Communications; Electrical and Electronic Engineering";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
16th International Conference on Numerical Simulation of Optoelectronic Devices, NUSOD 2016;-;"Chemical Engineering; Chemistry; Engineering; Environmental Chemistry; Water Science and Technology";Physical Sciences and Engineering;NA;NA;
16th International Conference on Sciences and Techniques of Automatic Control and Computer Engineering, STA 2015;-;"Computer Networks and Communications; Computer Science Applications; Electrical and Electronic Engineering; Hardware and Architecture; Signal Processing";Physical Sciences and Engineering;NA;NA;
16th SIAM International Conference on Data Mining 2016, SDM 2016;-;"Fuel Technology; Geochemistry and Petrology; Geotechnical Engineering and Engineering Geology";Physical Sciences and Engineering;NA;NA;
17th International Conference on Intelligent Games on Simulation, GAME-ON 2016;-;"Control and Optimization; Energy Engineering and Power Technology; Renewable Energy, Sustainability and the Environment";Physical Sciences and Engineering;Energy;Fuel Technology;
18th AIAA Non-Deterministic Approaches Conference;-;Electrical and Electronic Engineering;Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
18th Coherent Laser Radar Conference and the Lidar Working Group on Space Based Winds, CLRC 2016;-;"Information Systems; Software";Physical Sciences and Engineering;Computer Science;Information Systems;
18th CSI International Symposium on Computer Architecture and Digital Systems, CADS 2015;-;Electrical and Electronic Engineering;Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
18th Asia-Pacific Network Operations and Management Symposium, APNOMS 2016: Management of Softwarized Infrastructure - Proceedings;-;"Engineering; Safety, Risk, Reliability and uality";Physical Sciences and Engineering;NA;NA;
18th International Conference on Harbor, Maritime and Multimodal Logistics Modelling and Simulation, HMS 2016;-;Computer Networks and Communications;Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
1979 EIC 14th Electrical/Electronics Insulation Conference, EIC 1979;-;"Electrical and Electronic Engineering; Polymers and Plastics";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
19th European Frequency and Time Forum, EFTF 2005 - Proceedings;-;"Building and Construction; Civil and Structural Engineering";Physical Sciences and Engineering;Engineering;BuildingConstruction;
18th Process Plant Safety Symposium, PPSS 2016 - Topical Conference at the 2016 AIChE Spring Meeting and 12th Global Congress on Process Safety;-;"Artificial Intelligence; Computer Networks and Communications; Software";Physical Sciences and Engineering;NA;NA;
19th IEEE Symposium on Low-Power and High-Speed Chips, IEEE COOL Chips 2016 - Proceedings;-;"Computer Networks and Communications; Hardware and Architecture; Software";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
19th Topical Conference on Refinery Processing 2016 - Topical Conference at the 2016 AIChE Spring Meeting and 12th Global Congress on Process Safety;-;"Chemical Engineering; Chemistry";Physical Sciences and Engineering;Chemical Engineering;Chemical Engineering (General);
1st EAGE Workshop on Pore Pressure Prediction: At the Well Scale from Today to Tomorrow, State of the Art, Recent Progress and Technology Gap;-;"Energy Engineering and Power Technology; Fuel Technology";Physical Sciences and Engineering;Energy;Energy Engineering and Power Technology;
19th International Conference on Computer and Information Technology, ICCIT 2016;-;"Computer Science; Theoretical Computer Science";Physical Sciences and Engineering;NA;NA;
19th International Conference on Electrical Machines and Systems, ICEMS 2016;-;"Computer Networks and Communications; Computer Science Applications; Electrical and Electronic Engineering; Information Systems";Physical Sciences and Engineering;NA;NA;
19th Power Systems Computation Conference, PSCC 2016;-;"Computer Networks and Communications; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software";Physical Sciences and Engineering;NA;NA;
1st EAGE Workshop on Practical Reservoir Monitoring, PRM 2017;-;"Artificial Intelligence; Modeling and Simulation";Physical Sciences and Engineering;Computer Science;Artificial Intelligence;
1st Conference on Geophysics for Mineral Exploration and Mining, Near Surface Geoscience 2016;-;"Management of Technology and Innovation; Software";Physical Sciences and Engineering;NA;NA;
1st International Conference - EECon 2016: 2016 Electrical Engineering Conference;-;Electrical and Electronic Engineering;Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
1st International Conference on Medical Engineering, Health Informatics and Technology, MediTec 2016;-;"Electrical and Electronic Engineering; Mechanical Engineering";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
1st IEEE International Conference on Power Electronics, Intelligent Control and Energy Systems, ICPEICES 2016;-;"Communication; Computer Networks and Communications; Electrical and Electronic Engineering";Physical Sciences and Engineering;NA;NA;
1st IMEKO TC4 International Workshop on Metrology for Geotechnics, MetroGeotechnics 2016;-;"Computer Graphics and Computer-Aided Design; Computer Networks and Communications; Human-Computer Interaction";Physical Sciences and Engineering;NA;NA;
2005 IEEE International Technology Management Conference, ICE 2005;-;Electrical and Electronic Engineering;Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
1st International Conference on Computer and Information Engineering, ICCIE 2015;-;"Control and Systems Engineering; Education; Electrical and Electronic Engineering; Energy Engineering and Power Technology";Physical Sciences and Engineering;NA;NA;
1st International Conference on Emerging Trends in Engineering, Technology and Science, ICETETS 2016 - Proceedings;-;"Computer Networks and Communications; Computer Vision and Pattern Recognition; Human-Computer Interaction; Software";Physical Sciences and Engineering;NA;NA;
2006 IEEE Hot Chips 18 Symposium, HCS 2006;-;"Computer Networks and Communications; Hardware and Architecture";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2005 IEEE Hot Chips 17 Symposium, HCS 2005;-;"Artificial Intelligence; Computer Networks and Communications; Hardware and Architecture";Physical Sciences and Engineering;NA;NA;
2007 IEEE Hot Chips 19 Symposium, HCS 2007;-;Hardware and Architecture;Physical Sciences and Engineering;Computer Science;Hardware and Architecture;
2008 IEEE Hot Chips 20 Symposium, HCS 2008;-;Hardware and Architecture;Physical Sciences and Engineering;Computer Science;Hardware and Architecture;
2006 IEEE International Technology Management Conference, ICE 2006;-;"Atomic and Molecular Physics, and Optics; Computer Networks and Communications; Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials";Physical Sciences and Engineering;NA;NA;
2009 IEEE Hot Chips 21 Symposium, HCS 2009;-;"Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
2007 IEEE International Technology Management Conference, ICE 2007;-;"Civil and Structural Engineering; Computer Networks and Communications; Computer Vision and Pattern Recognition; Control and Systems Engineering; Materials Science; Modeling and Simulation; Signal Processing";Physical Sciences and Engineering;NA;NA;
2010 IEEE Hot Chips 22 Symposium, HCS 2010;-;"Computer Networks and Communications; Hardware and Architecture; Media Technology";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2008 IEEE International Technology Management Conference, ICE 2008;-;"Biomedical Engineering; Electrical and Electronic Engineering";Physical Sciences and Engineering;NA;NA;
2010 IEEE International Technology Management Conference, ICE 2010;-;Computer Networks and Communications;Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2009 IEEE International Technology Management Conference, ICE 2009;-;"Computer Science; Information Systems; Language and Linguistics";Physical Sciences and Engineering;NA;NA;
2010 IEEE Hot Chips 22 Symposium, HCS 2010;-;"Education; Engineering";Physical Sciences and Engineering;NA;NA;
2012 IEEE Hot Chips 24 Symposium, HCS 2012;-;"Condensed Matter Physics; Electrical and Electronic Engineering";Physical Sciences and Engineering;Physics and Astronomy;Condensed Matter Physics;
2014 IEEE Hot Chips 26 Symposium, HCS 2014;-;"Computer Networks and Communications; Hardware and Architecture";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2014 IEEE International Nanoelectronics Conference, INEC 2014;-;Software;Physical Sciences and Engineering;Computer Science;Software;
2013 IEEE Hot Chips 25 Symposium, HCS 2013;-;"Decision Sciences; Hardware and Architecture; Software";Physical Sciences and Engineering;NA;NA;
2015 10th International Conference for Internet Technology and Secured Transactions, ICITST 2015;-;"Artificial Intelligence; Computational Theory and Mathematics";Physical Sciences and Engineering;Computer Science;Artificial Intelligence;
2015 10th International Conference on Information, Communications and Signal Processing, ICICS 2015;-;"Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
2014 IEEE Nuclear Science Symposium and Medical Imaging Conference, NSS/MIC 2014;-;"Management of Technology and Innovation; Software";Physical Sciences and Engineering;NA;NA;
2015 10th International Conference on Malicious and Unwanted Software, MALWARE 2015;-;"Computational Theory and Mathematics; Computer Science Applications";Physical Sciences and Engineering;Computer Science;Computational Theory and Mathematics;
2015 11th Conference on Lasers and Electro-Optics Pacific Rim, CLEO-PR 2015;-;"Computer Science Applications; Signal Processing";Physical Sciences and Engineering;Computer Science;Computer Science Applications;
2015 11th Conference on Lasers and Electro-Optics Pacific Rim, CLEO-PR 2015;-;Civil and Structural Engineering;Physical Sciences and Engineering;Engineering;Civil and Structural Engineering;
2015 11th International Computer Engineering Conference: Today Information Society What's Next?, ICENCO 2015;-;"Control and Systems Engineering; Electrical and Electronic Engineering";Physical Sciences and Engineering;Engineering;Control and Systems Engineering;
2015 12th International Computer Conference on Wavelet Active Media Technology and Information Processing, ICCWAMTIP 2015;-;"Electrical and Electronic Engineering; Hardware and Architecture";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
2015 12th International Conference on Fuzzy Systems and Knowledge Discovery, FSKD 2015;-;Signal Processing;Physical Sciences and Engineering;Computer Science;Signal Processing;
2015 12th International Conference on High-Capacity Optical Networks and Enabling/Emerging Technologies, HONET-ICT 2015;-;"Computer Networks and Communications; Electrical and Electronic Engineering";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 12th Learning and Technology Conference, L and T 2015;-;"Electrical and Electronic Engineering; Hardware and Architecture";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
2015 15th International Symposium on Communications and Information Technologies, ISCIT 2015;-;"Computational Theory and Mathematics; Hardware and Architecture";Physical Sciences and Engineering;Computer Science;Computational Theory and Mathematics;
2015 15th Non-Volatile Memory Technology Symposium, NVMTS 2015;-;"Energy Engineering and Power Technology; Renewable Energy, Sustainability and the Environment";Physical Sciences and Engineering;Energy;Energy Engineering and Power Technology;
2015 14th International Conference on ITS Telecommunications, ITST 2015;-;"Artificial Intelligence; Computer Science Applications; Computer Vision and Pattern Recognition; Control and Optimization";Physical Sciences and Engineering;NA;NA;
2015 15th International Superconductive Electronics Conference, ISEC 2015;-;"Computer Networks and Communications; Computer Science Applications; Information Systems";Physical Sciences and Engineering;NA;NA;
2015 16th Workshop on Information Processing and Control, RPIC 2015;-;"Control and Systems Engineering; Hardware and Architecture";Physical Sciences and Engineering;Engineering;Control and Systems Engineering;
2015 18th International Conference on Computer and Information Technology, ICCIT 2015;-;"Computational Theory and Mathematics; Fuel Technology; Geochemistry and Petrology";Physical Sciences and Engineering;Computer Science;Computational Theory and Mathematics;
2015 21st Asia-Pacific Conference on Communications, APCC 2015;-;"Artificial Intelligence; Computer Science Applications; Information Systems";Physical Sciences and Engineering;Computer Science;Artificial Intelligence;
2015 2nd Asia-Pacific World Congress on Computer Science and Engineering, APWC on CSE 2015;-;"Computer Graphics and Computer-Aided Design; Human-Computer Interaction; Software";Physical Sciences and Engineering;Computer Science;Computer Graphics and Computer-Aided Design;
2015 2nd International Conference on Information Security and Cyber Forensics, InfoSec 2015;-;Software;Physical Sciences and Engineering;Computer Science;Software;
2015 22nd Iranian Conference on Biomedical Engineering, ICBME 2015;-;"Control and Systems Engineering; Electrical and Electronic Engineering; Energy Engineering and Power Technology";Physical Sciences and Engineering;NA;NA;
2015 23rd Telecommunications Forum, TELFOR 2015;-;"Automotive Engineering; Computer Networks and Communications; Hardware and Architecture";Physical Sciences and Engineering;NA;NA;
2015 23rd Telecommunications Forum, TELFOR 2015;-;"Aerospace Engineering; Electrical and Electronic Engineering";Physical Sciences and Engineering;NA;NA;
2015 2nd International Conference on Recent Advances in Engineering and Computational Sciences, RAECS 2015;-;"Computer Vision and Pattern Recognition; Software";Physical Sciences and Engineering;Computer Science;Computer Vision and Pattern Recognition;
2015 4th Forum Strategic Partnership of Universities and Enterprises of Hi-Tech Branches (Science. Education. Innovation);-;"Electrical and Electronic Engineering; Radiation";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
2015 4th International Conference on Electrical Engineering, ICEE 2015;-;Computer Networks and Communications;Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 53rd Annual Allerton Conference on Communication, Control, and Computing, Allerton 2015;-;"Electrical and Electronic Engineering; Instrumentation";Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
2015 6th International Green and Sustainable Computing Conference;-;"Atomic and Molecular Physics, and Optics; Electrical and Electronic Engineering";Physical Sciences and Engineering;Physics and Astronomy;Atomic and Molecular Physics, and Optics;
2015 7th IEEE Latin-American Conference on Communications, LATINCOM 2015;-;Electrical and Electronic Engineering;Physical Sciences and Engineering;Engineering;Electrical and Electronic Engineering;
2015 5th International Conference on Information and Communication Technology and Accessibility, ICTA 2015;-;"Geochemistry and Petrology; Geology; Geotechnical Engineering and Engineering Geology";Physical Sciences and Engineering;NA;NA;
2015 5th National Conference on Computer Vision, Pattern Recognition, Image Processing and Graphics, NCVPRIPG 2015;-;"Electronic, Optical and Magnetic Materials; Industrial and Manufacturing Engineering; Safety, Risk, Reliability and uality";Physical Sciences and Engineering;NA;NA;
2015 6th International Conference on Computers and Devices for Communication, CODEC 2015;-;"Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials; Modeling and Simulation";Physical Sciences and Engineering;NA;NA;
2015 8th UK, Europe, China Millimeter Waves and THz Technology Workshop, UCMMT 2015;-;"Hardware and Architecture; Software";Physical Sciences and Engineering;Computer Science;Hardware and Architecture;
2015 Asia-Pacific Signal and Information Processing Association Annual Summit and Conference, APSIPA ASC 2015;-;"Computer Networks and Communications; Information Systems";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 Conference on Design of Circuits and Integrated Systems, DCIS 2015;-;Software;Physical Sciences and Engineering;Computer Science;Software;
2015 9th Malaysian Software Engineering Conference, MySEC 2015;-;"Computer Networks and Communications; Information Systems; Safety, Risk, Reliability and uality";Physical Sciences and Engineering;NA;NA;
2015 IEEE 12th International Conference on Electronic Measurement and Instruments, ICEMI 2015;-;"Hardware and Architecture; Software";Physical Sciences and Engineering;Computer Science;Hardware and Architecture;
2015 IEEE 12th Malaysia International Conference on Communications, MICC 2015;-;"Artificial Intelligence; Modeling and Simulation";Physical Sciences and Engineering;Computer Science;Artificial Intelligence;
2015 IEEE 10th International Conference on Industrial and Information Systems, ICIIS 2015 - Conference Proceedings;-;"Computer Networks and Communications; Information Systems; Safety, Risk, Reliability and uality";Physical Sciences and Engineering;NA;NA;
2015 IEEE 20th International Workshop on Computer Aided Modelling and Design of Communication Links and Networks, CAMAD 2015;-;"Computer Networks and Communications; Electrical and Electronic Engineering";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 IEEE 12th International Conference on Electronic Measurement and Instruments, ICEMI 2015;-;"Artificial Intelligence; Computer Vision and Pattern Recognition; Linguistics and Language; Signal Processing";Physical Sciences and Engineering;NA;NA;
2015 IEEE 26th International Symposium on Software Reliability Engineering, ISSRE 2015;-;Computer Networks and Communications;Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 IEEE 13th International Scientific Conference on Informatics, INFORMATICS 2015 - Proceedings;-;"Computer Networks and Communications; Computer Science Applications; Control and Systems Engineering; Information Systems";Physical Sciences and Engineering;NA;NA;
2015 IEEE 1st International Workshop on Consumer Electronics - Novi Sad, CE WS 2015;-;"Computer Networks and Communications; Control and Systems Engineering; Information Systems; Information Systems and Management";Physical Sciences and Engineering;NA;NA;
2015 IEEE 7th International Conference on Engineering Education, ICEED 2015;-;Hardware and Architecture;Physical Sciences and Engineering;Computer Science;Hardware and Architecture;
2015 IEEE 23rd International Symposium on Quality of Service, IWQoS 2015;-;"Control and Optimization; Electrical and Electronic Engineering; Modeling and Simulation; Numerical Analysis; Radiation";Physical Sciences and Engineering;NA;NA;
2015 IEEE 82nd Vehicular Technology Conference, VTC Fall 2015 - Proceedings;-;"Computer Networks and Communications; Hardware and Architecture";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 IEEE 2nd International Conference on InformationScience and Security, ICISS 2015;-;"Computational Theory and Mathematics; Computer Networks and Communications; Computer Science Applications";Physical Sciences and Engineering;NA;NA;
2015 IEEE 34th International Performance Computing and Communications Conference, IPCCC 2015;-;"Artificial Intelligence; Computer Networks and Communications; Computer Science Applications";Physical Sciences and Engineering;NA;NA;
2015 IEEE 4th Global Conference on Consumer Electronics, GCCE 2015;-;"Computer Networks and Communications; Control and Systems Engineering; Energy Engineering and Power Technology";Physical Sciences and Engineering;NA;NA;
2015 IEEE Applied Electromagnetics Conference, AEMC 2015;-;"Computer Networks and Communications; Instrumentation; Radiation";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 IEEE Brasil RFID;-;"Computer Graphics and Computer-Aided Design; Human-Computer Interaction; Software";Physical Sciences and Engineering;Computer Science;Computer Graphics and Computer-Aided Design;
2015 IEEE 82nd Vehicular Technology Conference, VTC Fall 2015 - Proceedings;-;"Artificial Intelligence; Control and Systems Engineering; Hardware and Architecture";Physical Sciences and Engineering;NA;NA;
2015 IEEE Conference on Wireless Sensors, ICWiSE 2015;-;"Computer Science Applications; Linguistics and Language; Signal Processing";Physical Sciences and Engineering;Computer Science;Computer Science Applications;
2015 IEEE Applied Imagery Pattern Recognition Workshop, AIPR 2015;-;"Artificial Intelligence; Education; Electrical and Electronic Engineering; Mechanical Engineering";Physical Sciences and Engineering;NA;NA;
2015 IEEE Asian Solid-State Circuits Conference, A-SSCC 2015 - Proceedings;-;"Electrical and Electronic Engineering; Electronic, Optical and Magnetic Materials; Hardware and Architecture";Physical Sciences and Engineering;NA;NA;
2015 IEEE Bombay Section Symposium: Frontiers of Technology: Fuelling Prosperity of Planet and People, IBSS 2015;-;"Artificial Intelligence; Computer Science Applications; Control and Systems Engineering";Physical Sciences and Engineering;NA;NA;
2015 IEEE Electrical Design of Advanced Packaging and Systems Symposium, IEEE EDAPS 2015;-;"Computational Mathematics; Signal Processing";Physical Sciences and Engineering;Mathematics;Computational Mathematics;
2015 IEEE Conference on Network Function Virtualization and Software Defined Network, NFV-SDN 2015;-;"Computer Networks and Communications; Control and Systems Engineering; Electrical and Electronic Engineering; Energy Engineering and Power Technology; Signal Processing";Physical Sciences and Engineering;NA;NA;
2015 IEEE Conference on Standards for Communications and Networking, CSCN 2015;-;"Artificial Intelligence; Civil and Structural Engineering; Energy Engineering and Power Technology; Mechanical Engineering; Modeling and Simulation";Physical Sciences and Engineering;NA;NA;
2015 IEEE Global Conference on Signal and Information Processing, GlobalSIP 2015;-;"Computer Science Applications; Electrical and Electronic Engineering";Physical Sciences and Engineering;Computer Science;Computer Science Applications;
2015 IEEE Global Conference on Signal and Information Processing, GlobalSIP 2015;-;Computer Networks and Communications;Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 IEEE Electrical Power and Energy Conference: Smarter Resilient Power Systems, EPEC 2015;-;"Computer Networks and Communications; Computer Science Applications; Electrical and Electronic Engineering; Signal Processing";Physical Sciences and Engineering;NA;NA;
2015 IEEE Hot Chips 27 Symposium, HCS 2015;-;Hardware and Architecture;Physical Sciences and Engineering;Computer Science;Hardware and Architecture;
2015 IEEE International Conference on Applied Superconductivity and Electromagnetic Devices, ASEMD 2015 - Proceedings;-;Computer Networks and Communications;Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 IEEE International Conference on Building Energy Efficiency and Sustainable Technologies, ICBEST 2015;-;"Computer Science Applications; Hardware and Architecture; Software";Physical Sciences and Engineering;Computer Science;Computer Science Applications;
2015 IEEE International Autumn Meeting on Power, Electronics and Computing, ROPEC 2015;-;"Artificial Intelligence; Industrial and Manufacturing Engineering; Information Systems";Physical Sciences and Engineering;NA;NA;
2015 IEEE International Conference on Computational Intelligence and Computing Research, ICCIC 2015;-;"Computer Networks and Communications; Safety, Risk, Reliability and uality";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 IEEE International Conference on Computer Graphics, Vision and Information Security, CGVIS 2015;-;Hardware and Architecture;Physical Sciences and Engineering;Computer Science;Hardware and Architecture;
2015 IEEE International Conference on Communication Problem-Solving, ICCP 2015;-;"Artificial Intelligence; Control and Systems Engineering; Safety Research";Physical Sciences and Engineering;NA;NA;
2015 IEEE International Conference on Electronics, Computing and Communication Technologies, CONECCT 2015;-;Computer Networks and Communications;Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 IEEE International Conference on Smart Grid Communications, SmartGridComm 2015;-;"Artificial Intelligence; Information Systems";Physical Sciences and Engineering;Computer Science;Artificial Intelligence;
2015 IEEE International Symposium on Radio-Frequency Integration Technology, RFIT 2015 - Proceedings;-;"Computer Networks and Communications; Safety, Risk, Reliability and uality";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 IEEE International Conference on Engineering, Technology and Innovation/ International Technology Management Conference, ICE/ITMC 2015;-;"Computer Networks and Communications; Information Systems; Information Systems and Management; Safety, Risk, Reliability and uality";Physical Sciences and Engineering;NA;NA;
2015 IEEE International Symposium on Signal Processing and Information Technology, ISSPIT 2015;-;Computer Networks and Communications;Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
2015 IEEE International Conference on Smart Instrumentation, Measurement and Applications, ICSIMA 2015;-;"Computer Networks and Communications; Control and Systems Engineering; Hardware and Architecture";Physical Sciences and Engineering;NA;NA;
2015 IEEE International Conference on Space Optical Systems and Applications, ICSOS 2015;-;"Automotive Engineering; Electrical and Electronic Engineering; Transportation";Physical Sciences and Engineering;NA;NA;
2015 IEEE International Conference on Vehicular Electronics and Safety, ICVES 2015;-;"Computer Networks and Communications; Computer Science Applications; Information Systems; Signal Processing; Social Sciences";Physical Sciences and Engineering;NA;NA;
2015 IEEE International Transportation Electrification Conference, ITEC-India 2015;-;"Computer Networks and Communications; Software";Physical Sciences and Engineering;Computer Science;Computer Networks and Communications;
